2021-01-10 14:04:27.9831 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 14:06:08.8522 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 14:06:34.4830 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 14:13:45.1480 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 14:13:57.5683 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:07:00.2138 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:07:10.5131 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:09:31.5392 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:09:48.6481 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:10:08.3321 || INFO || Receving string||  
2021-01-10 15:10:09.1790 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:10:12.5613 || ERROR || @ index : 0||  
2021-01-10 15:10:12.7992 || ERROR || ^ index : 115||  
2021-01-10 15:10:13.9923 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:10:16.7110 || INFO || Length||  
2021-01-10 15:10:17.0575 || INFO || 14||  
2021-01-10 15:10:17.6006 || INFO || ONGOING||  
2021-01-10 15:21:33.7003 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:21:35.1148 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:21:55.4358 || INFO || Receving string||  
2021-01-10 15:21:55.6012 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:21:56.3909 || ERROR || @ index : 0||  
2021-01-10 15:21:56.5389 || ERROR || ^ index : 115||  
2021-01-10 15:21:57.3109 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:21:57.9122 || INFO || Length||  
2021-01-10 15:21:58.0262 || INFO || 14||  
2021-01-10 15:21:58.3256 || INFO || ONGOING||  
2021-01-10 15:22:21.1746 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:23:40.1506 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:24:48.4877 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:24:57.4341 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:25:12.8673 || INFO || Receving string||  
2021-01-10 15:25:12.8863 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:25:13.8455 || ERROR || @ index : 0||  
2021-01-10 15:25:13.8624 || ERROR || ^ index : 115||  
